City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Thompson,CA,2021-11-01 03:31:52,55.7435,-97.8558,26.76,80,75,8.05,broken clouds
123,Sambava,MG,2021-11-01 03:31:53,-14.2667,50.1667,76.75,80,30,5.03,light rain
124,Yerbogachen,RU,2021-11-01 03:31:53,61.2767,108.0108,25.41,78,100,5.39,overcast clouds
125,Ambilobe,MG,2021-11-01 03:31:53,-13.2,49.05,78.28,73,21,3.74,few clouds
126,Puerto Baquerizo Moreno,EC,2021-11-01 03:31:54,-0.9,-89.6,68.9,89,21,7.9,few clouds
127,Carnarvon,AU,2021-11-01 03:31:54,-24.8667,113.6333,71.67,60,75,17.27,broken clouds
128,Hirtshals,DK,2021-11-01 03:31:54,57.5881,9.9592,55.22,86,100,17.31,overcast clouds
129,Brae,GB,2021-11-01 03:31:54,60.3964,-1.353,49.91,86,61,17.45,broken clouds
130,Sibolga,ID,2021-11-01 03:31:55,1.7427,98.7792,83.35,71,100,3.42,overcast clouds
131,Kodiak,US,2021-11-01 03:31:55,57.79,-152.4072,42.04,90,100,2.53,overcast clouds
132,Sao Filipe,CV,2021-11-01 03:31:55,14.8961,-24.4956,79.41,76,100,8.16,overcast clouds
133,Sorland,NO,2021-11-01 03:31:56,67.667,12.6934,47.19,82,54,15.23,broken clouds
134,Tasiilaq,GL,2021-11-01 03:31:56,65.6145,-37.6368,24.96,58,3,6.44,clear sky
135,Mount Isa,AU,2021-11-01 03:31:56,-20.7333,139.5,94.77,31,23,12.66,few clouds
136,Krasnoselkup,RU,2021-11-01 03:31:57,65.7,82.4667,4.87,94,100,12.73,overcast clouds
137,Saldanha,ZA,2021-11-01 03:31:57,-33.0117,17.9442,62.65,76,96,13.96,light rain
138,Sioux Lookout,CA,2021-11-01 03:32:57,50.1001,-91.917,33.87,93,75,8.05,light rain
139,Urumqi,CN,2021-11-01 03:28:19,43.801,87.6005,40.15,75,0,0.0,clear sky
140,Tessalit,ML,2021-11-01 03:32:57,20.1986,1.0114,79.25,16,3,9.37,clear sky
141,Narsaq,GL,2021-11-01 03:30:11,60.9167,-46.05,26.82,64,28,7.34,scattered clouds
142,Iqaluit,CA,2021-11-01 03:29:01,63.7506,-68.5145,28.13,79,40,8.99,scattered clouds
143,Ponta Do Sol,PT,2021-11-01 03:30:17,32.6667,-17.1,70.72,75,44,1.01,scattered clouds
144,Kapaa,US,2021-11-01 03:30:24,22.0752,-159.319,78.78,81,90,1.01,overcast clouds
145,Ucluelet,CA,2021-11-01 03:32:58,48.9329,-125.5528,41.09,62,0,10.76,clear sky
146,Ulladulla,AU,2021-11-01 03:32:58,-35.35,150.4667,80.76,50,84,16.26,broken clouds
147,Lompoc,US,2021-11-01 03:32:32,34.6391,-120.4579,58.57,85,1,4.61,clear sky
148,Longyearbyen,SJ,2021-11-01 03:30:20,78.2186,15.6401,33.64,75,40,17.27,scattered clouds
149,Yakeshi,CN,2021-11-01 03:32:59,49.2833,120.7333,39.16,30,4,9.4,clear sky
150,Torbay,CA,2021-11-01 03:32:59,47.6666,-52.7314,46.58,93,90,14.97,mist
151,Eyl,SO,2021-11-01 03:33:00,7.9803,49.8164,78.89,76,35,15.23,scattered clouds
152,Mezen,RU,2021-11-01 03:33:00,65.8522,44.24,16.68,93,49,7.92,scattered clouds
153,Port Lincoln,AU,2021-11-01 03:30:36,-34.7333,135.8667,69.46,49,15,10.96,few clouds
154,Quarai,BR,2021-11-01 03:33:00,-30.3875,-56.4514,69.93,78,86,9.84,overcast clouds
155,Makakilo City,US,2021-11-01 03:33:01,21.3469,-158.0858,79.29,68,75,10.36,broken clouds
156,Handan,CN,2021-11-01 03:33:01,36.6006,114.4678,58.89,55,2,5.21,light rain
157,Librazhd,AL,2021-11-01 03:33:01,41.1794,20.315,38.5,78,2,4.05,clear sky
158,Stephenville,US,2021-11-01 03:33:02,32.2207,-98.2023,66.33,61,1,6.91,clear sky
159,Araguaina,BR,2021-11-01 03:33:02,-7.1911,-48.2072,79.86,63,100,3.8,overcast clouds
160,Lavrentiya,RU,2021-11-01 03:33:03,65.5833,-171.0,12.49,78,100,9.26,overcast clouds
161,Bat Khela,PK,2021-11-01 03:33:03,34.6167,71.9714,66.09,26,9,2.64,clear sky
162,Calvinia,ZA,2021-11-01 03:33:03,-31.4707,19.776,51.46,78,98,16.04,overcast clouds
163,Hamilton,US,2021-11-01 03:32:47,39.1834,-84.5333,54.12,78,90,1.01,overcast clouds
164,Roald,NO,2021-11-01 03:33:04,62.5833,6.1333,50.14,66,90,8.05,overcast clouds
165,Sumenep,ID,2021-11-01 03:33:04,-7.0167,113.8667,87.28,60,96,8.68,overcast clouds
166,Ancud,CL,2021-11-01 03:33:04,-41.8697,-73.8203,53.13,93,0,10.2,clear sky
167,Natal,BR,2021-11-01 03:32:09,-5.795,-35.2094,81.25,78,40,11.5,scattered clouds
168,Constitucion,CL,2021-11-01 03:33:05,-35.3333,-72.4167,49.84,91,68,5.88,broken clouds
169,Port Blair,IN,2021-11-01 03:33:05,11.6667,92.75,86.04,70,40,10.36,scattered clouds
170,Ukiah,US,2021-11-01 03:33:05,39.1502,-123.2078,58.44,84,90,10.36,overcast clouds
171,Trat,TH,2021-11-01 03:33:06,12.5,102.5,89.8,75,64,4.88,broken clouds
172,Comodoro Rivadavia,AR,2021-11-01 03:33:06,-45.8667,-67.5,46.26,76,0,10.36,clear sky
173,Pokhara,NP,2021-11-01 03:30:59,28.2333,83.9833,62.96,79,90,0.83,overcast clouds
174,Saint George,US,2021-11-01 03:32:07,37.1041,-113.5841,67.95,47,1,5.99,clear sky
175,Clyde River,CA,2021-11-01 03:30:15,70.4692,-68.5914,20.35,90,100,6.78,overcast clouds
176,Iracoubo,GF,2021-11-01 03:33:07,5.4802,-53.2011,79.07,82,88,7.96,overcast clouds
177,Guilin,CN,2021-11-01 03:33:07,25.2819,110.2864,62.71,93,100,4.9,overcast clouds
178,Pasighat,IN,2021-11-01 03:33:07,28.0667,95.3333,79.23,47,26,3.15,scattered clouds
179,Keetmanshoop,NA,2021-11-01 03:33:08,-26.5833,18.1333,54.09,73,0,13.73,clear sky
180,Port Arthur,CN,2021-11-01 03:33:08,38.8,121.2667,48.42,43,0,19.48,clear sky
181,Moscow,RU,2021-11-01 03:31:48,55.7522,37.6156,39.24,88,6,7.29,clear sky
182,Alofi,NU,2021-11-01 03:33:08,-19.0595,-169.9187,82.29,57,29,16.11,scattered clouds
183,Wajima,JP,2021-11-01 03:33:09,37.4,136.9,63.28,88,75,4.61,broken clouds
184,Flin Flon,CA,2021-11-01 03:30:36,54.7682,-101.865,29.73,93,99,5.97,overcast clouds
