City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Souillac,MU,77.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
223,Ballina,AU,71.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
226,Paita,PE,65.03,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
227,Lata,PT,61.21,overcast clouds,40.1629,-8.3327,Casa Maquia
229,Kalangala,UG,70.43,light rain,-0.3089,32.225,Ssese Habitat Resort
232,Lucapa,AO,64.78,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
234,Irece,BR,72.28,broken clouds,-11.3042,-41.8558,RADAR INN HOTEL
240,Camacha,PT,69.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
241,Fortuna,US,61.48,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
242,Bandarbeyla,SO,79.2,light rain,9.4942,50.8122,JABIR HOTEL
243,Kaeo,NZ,66.33,overcast clouds,-35.1,173.7833,Bushido Lodge
244,Kamaishi,JP,61.75,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
246,Dingle,PH,84.51,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
248,Sawtell,AU,71.92,overcast clouds,-30.3833,153.1,Island Beach House Sawtell
250,Melton,AU,78.69,clear sky,-37.6833,144.5833,Mantra Melbourne Melton
252,Gat,IL,72.39,overcast clouds,31.61,34.7642,OlusHome
253,Reconquista,AR,79.86,overcast clouds,-29.15,-59.65,Grand Hotel
256,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
257,Ahipara,NZ,60.89,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
258,Bac Lieu,VN,86.41,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
262,Kavieng,PG,85.48,broken clouds,-2.5744,150.7967,Nusa Island Retreat
266,Karratha,AU,80.13,clear sky,-20.7377,116.8463,ibis Styles Karratha
268,Bani,DO,75.27,clear sky,18.2833,-70.3333,Hospedaje Henriquez
270,Kumano,JP,68.9,overcast clouds,34.3442,132.5894,ホテル コラソン
271,Itarema,BR,80.51,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
275,Mbeya,TZ,61.54,few clouds,-8.9,33.45,Leda Lodge
276,Georgetown,MY,85.98,few clouds,5.4112,100.3354,Cititel Penang
277,Port Elizabeth,ZA,63.1,few clouds,-33.918,25.5701,39 On Nile Guest House
278,Bam,IR,69.06,clear sky,29.106,58.357,Bam Tourist Hotel
280,Pisco,PE,62.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
281,Diamantino,BR,73.29,heavy intensity rain,-14.4086,-56.4461,Hotel Delta
287,Saint-Joseph,RE,75.47,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
289,Plettenberg Bay,ZA,62.04,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
