City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Saryozek,KZ,2021-10-31 23:46:42,44.3583,77.9753,39.52,63,95,4.74
107,Vila Velha,BR,2021-10-31 23:46:43,-20.3297,-40.2925,71.55,94,90,1.14
108,Shitkino,RU,2021-10-31 23:46:43,56.3703,98.3543,33.17,81,100,4.99
109,Beya,RU,2021-10-31 23:46:43,53.0533,90.9139,31.69,69,81,23.94
110,Udachnyy,RU,2021-10-31 23:44:31,66.4167,112.4,5.32,85,62,16.67
111,Berlevag,NO,2021-10-31 23:46:44,70.8578,29.0864,35.58,79,56,21.3
112,Shingu,JP,2021-10-31 23:46:44,33.7333,135.9833,67.19,66,67,2.33
113,Pangoa,PE,2021-10-31 23:46:44,-12.1167,-73.0,71.83,86,77,2.42
114,Creel,MX,2021-10-31 23:46:45,27.75,-107.6333,56.52,45,87,7.58
115,Ballina,AU,2021-10-31 23:44:46,-28.8667,153.5667,71.78,63,90,10.36
116,Ahipara,NZ,2021-10-31 23:46:45,-35.1667,173.1667,60.8,66,74,13.06
117,Ucluelet,CA,2021-10-31 23:42:32,48.9329,-125.5528,54.09,72,0,1.99
118,Moron,AR,2021-10-31 23:46:46,-34.6534,-58.6198,65.89,79,95,8.01
119,Frutal,BR,2021-10-31 23:43:37,-20.0247,-48.9406,66.36,95,76,6.46
120,Tasiilaq,GL,2021-10-31 23:46:46,65.6145,-37.6368,24.96,59,44,6.64
121,New Norfolk,AU,2021-10-31 23:46:47,-42.7826,147.0587,61.66,53,100,4.0
122,Marrakesh,MA,2021-10-31 23:46:47,31.6315,-8.0083,64.47,63,8,5.75
123,Arraial Do Cabo,BR,2021-10-31 23:46:47,-22.9661,-42.0278,70.59,92,100,19.53
124,San-Pedro,CI,2021-10-31 23:44:41,4.7485,-6.6363,77.54,89,81,9.15
125,Biloela,AU,2021-10-31 23:46:47,-24.4167,150.5,78.46,44,57,11.39
126,Barrow,US,2021-10-31 23:46:48,71.2906,-156.7887,28.42,86,90,18.41
127,Sao Filipe,CV,2021-10-31 23:46:48,14.8961,-24.4956,79.57,76,97,5.21
128,Chuy,UY,2021-10-31 23:46:48,-33.6971,-53.4616,63.82,97,46,7.81
129,Port-Cartier,CA,2021-10-31 23:46:49,50.0334,-66.8654,48.42,96,100,20.15
130,Carutapera,BR,2021-10-31 23:46:49,-1.195,-46.02,77.23,90,66,5.61
131,Anadyr,RU,2021-10-31 23:46:49,64.75,177.4833,-7.01,76,86,15.01
